species,family,order,class,phylum,kingdom,decimalLatitude,decimalLongitude,cubanendemic
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.192222,-74.8,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.192222,-74.8,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.188333,-75.235833,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.081111,-74.754444,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.071111,-74.678611,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.063611,-74.7875,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.061111,-74.782222,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.0575,-74.735833,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.062339,-74.618615,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.055556,-74.696111,n
Rheumatobates_clanis,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,19.88782,-75.327092,n
Rheumatobates_meinerti,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.06,-74.746111,n
Rheumatobates_meinerti,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.050556,-74.731667,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.06,-74.746111,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.055,-74.610556,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.050556,-74.731667,n
Limnogonus_franciscanus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.062339,-74.618615,n
Crocothemis_servilia,Libellulidae,Odonata,Insecta,Arthropoda,Animalia,22.2325,-81.10673,n
Metrobates_tumidus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.188333,-75.235833,n
Metrobates_tumidus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.081111,-74.754444,n
Metrobates_tumidus,Gerridae,Hemiptera,Insecta,Arthropoda,Animalia,20.0575,-74.735833,n
Epilobocera_capolongoi,Pseudothelphusidae,Decapoda,Malacostraca,Arthropoda,Animalia,21.908683,-80.023764,y
