"scientificName","genus","family","order","class","phylum","institutionCode","catalogNumber","basisOfRecord","day","month","year","recordedBy","identifiedBy","lifeStage","sex","locality","waterBody","waterBodyType","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","georeferencedby","georeferenceProtocol","georeferenceSources","georeferenceRemarks","municipality","stateProvince","reference","gbifId","subcatchmentId"
"Ablabesmyia cinctipes (Johannsen, 1946)","Ablabesmyia","Chironomidae","Diptera","Insecta","Arthropoda",,,"MaterialCitation",,,"2013",,,,,"Meseta de San Felipe","","general freshwater",21.633333,-77.983333,"WGS84",4434,"Y. Torres-Cambas","GEOLocate","GEOLocate: Mapnik (OSM), Google Hybrid",,"Florida","Camagüey","Bello, O. C., Spies, M.,  Téllez, B. 2013. Estado del conocimiento de la familia Chironomidae (Insecta: Diptera) en Cuba. Dugesiana. 20: . http://repositorio.geotech.cu/jspui/handle/1234/2370                                                                                                                                                                                                      ",,422627991
"Alisotrichia alayoana Botosaneanu, 1977 ","Alisotrichia","Hydroptilidae","Trichoptera","Insecta","Arthropoda","National Museum of Natural History, Smithsonian Institution, Washington, D.C.",,"PreservedSpecimen","13","3","1973","L. Botosaneanu",,,"male","Baire, Río Mogote","Río Mogote","river",20.162852,-76.326235,"WGS84",3036,"Y. Torres-Cambas","GEOLocate","GEOLocate: Mapnik (OSM), Google Hybrid",,"Tercer Frente","Villa Clara","https://www.gbif.org/occurrence/1319038367","https://www.gbif.org/occurrence/1319038367",422858334
"Alisotrichia alayoana Botosaneanu, 1977 ","Alisotrichia","Hydroptilidae","Trichoptera","Insecta","Arthropoda",,,"MaterialCitation",,,"1998","Fong, A",,"larva",,"Jaragua, Río Jaragua","Jaragua river","river",20.42835,-74.84076,"WGS84",30,"J. C. Salazar-Salinas","GEOLocate","GEOLocate: Mapnik (OSM), Google Hybrid",,"Moa","Holguín","Fong, A. 1998. Colección del Departamento de Biología. Departamento de Biología, Univerisdad de Oriente. Santiago de Cuba. ",,422811986
"Alisotrichia alayoana Botosaneanu, 1977 ","Alisotrichia","Hydroptilidae","Trichoptera","Insecta","Arthropoda",,,"MaterialCitation",,,"2003","López, P.","López, P.","larva",,"El Oro de Guisa","El Oro river","river",20.09587,-76.61313,"WGS84",300,"Y. Torres-Cambas","GEOLocate","GEOLocate: Mapnik (OSM), Google Hybrid",,"Buey Arriba","Granma","López, P., C. Naranjo, J. L. Frenández, D. D. González, A. Trapero, J. Pérez. . 2004. Insectos acuáticos del Parque Nacional La Bayamesa, Cuba. Boletín de la Sociedad Entomológica Aragonesa. 35: 225−231. http://sea-entomologia.org/aracnet/12/03Cuba4.pdf                                                                                                                                                                                                         ",,422870701
"Alisotrichia alayoana Botosaneanu, 1977 ","Alisotrichia","Hydroptilidae","Trichoptera","Insecta","Arthropoda",,,"MaterialCitation",,,"2003","Muñoz, S","Naranjo, J. C.","larva",,"Área Protegida Resolladero del Río Cuzco","Cuzco river","river",20.395634,-75.366128,"WGS84",2097,"Y. Torres-Cambas","GEOLocate","GEOLocate: Mapnik (OSM), Google Hybrid",,"El Salvador","Guantánamo","Muñoz, S. C. Naranjo López, D. D. González, T. Imbert. 2009. Insectos acuáticos del Área Protegida Resolladero del río Cuzco
(Provincia Guantánamo, Cuba). Boletin de la Sociedad Entomológica Aragonesa. 44: 497-503. http://sea-entomologia.org/Publicaciones/PDF/BOLN44/497_503BSEA44RioCuzco.pdf                                                                                                                                                                             ",,422816927
"Alisotrichia alayoana Botosaneanu, 1977 ","Alisotrichia","Hydroptilidae","Trichoptera","Insecta","Arthropoda",,,"MaterialCitation","18-27","6","2007","Hijuelo, Y., Lastre, J., Fonseca, A., Frómeta, L.","González, D.","larva",,"Río Turquino, a 4 km de la desembodacura","Turquino river","river",19.97506,-76.76043,"WGS84",500,"Y. Torres-Cambas","GEOLocate","GEOLocate: Mapnik (OSM), Google Hybrid",,"Guamá","Santiago de Cuba","Hijuelo, Y., Lastre, J., Fonseca, A., Frómeta, L. 2007. Caracterización de los macroinvertebrados duleceacuícolas y calidad de las aguas de la parte baja del río Turquino. Departamento de Biología, Universidad de Oriente. Santiago de Cuba. ",,422891687
"Alisotrichia chiquitica Botosaneanu, 1977 ","Alisotrichia","Hydroptilidae","Trichoptera","Insecta","Arthropoda","National Museum of Natural History, Smithsonian Institution, Washington, D.C.",,"PreservedSpecimen","24","2","1973","L. Botosaneanu",,,"male","Baracoa, Río Jojo","Río Jojo","river",20.1239,-74.4825,"WGS84",1115,"Y. Torres-Cambas","GEOLocate","GEOLocate: Mapnik (OSM), Google Hybrid",,"Imías","Guantánamo","https://www.gbif.org/occurrence/1317555359","https://www.gbif.org/occurrence/1317555359",422865855
"Alisotrichia chiquitica Botosaneanu, 1977 ","Alisotrichia","Hydroptilidae","Trichoptera","Insecta","Arthropoda",,,"MaterialCitation",,,"2003","López, P.","López, P.","larva",,"La Plata de Guisa(Parque Nacional La Bayamesa )",,"river",20.097139,-76.612714,"WGS84",252,"Y. Torres-Cambas","GEOLocate","GEOLocate: Mapnik (OSM), Google Hybrid",,"Guisa","Granma","López, P., C. Naranjo, J. L. Frenández, D. D. González, A. Trapero, J. Pérez. . 2004. Insectos acuáticos del Parque Nacional La Bayamesa, Cuba. Boletín de la Sociedad Entomológica Aragonesa. 35: 225−231. http://sea-entomologia.org/aracnet/12/03Cuba4.pdf                                                                                                                                                                                                         ",,422870701
"Alisotrichia chiquitica Botosaneanu, 1977 ","Alisotrichia","Hydroptilidae","Trichoptera","Insecta","Arthropoda",,,"MaterialCitation",,,"2003","Muñoz, S","Naranjo, J. C.","larva",,"Área Protegida Resolladero del Río Cuzco","Cuzco river","river",20.395634,-75.366128,"WGS84",2097,"Y. Torres-Cambas","GEOLocate","GEOLocate: Mapnik (OSM), Google Hybrid",,"El Salvador","Guantánamo","Muñoz, S. C. Naranjo López, D. D. González, T. Imbert. 2009. Insectos acuáticos del Área Protegida Resolladero del río Cuzco
(Provincia Guantánamo, Cuba). Boletin de la Sociedad Entomológica Aragonesa. 44: 497-503. http://sea-entomologia.org/Publicaciones/PDF/BOLN44/497_503BSEA44RioCuzco.pdf                                                                                                                                                                             ",,422816927
"Alisotrichia chiquitica Botosaneanu, 1977 ","Alisotrichia","Hydroptilidae","Trichoptera","Insecta","Arthropoda",,,"MaterialCitation","18-27","6","2007","Hijuelo, Y., Lastre, J., Fonseca, A., Frómeta, L.","González, D.","larva",,"Río Turquino, a 4 km de la desembodacura","Turquino river","river",19.97506,-76.76043,"WGS84",500,"Y. Torres-Cambas","GEOLocate","GEOLocate: Mapnik (OSM), Google Hybrid",,"Guamá","Santiago de Cuba","Hijuelo, Y., Lastre, J., Fonseca, A., Frómeta, L. 2007. Caracterización de los macroinvertebrados duleceacuícolas y calidad de las aguas de la parte baja del río Turquino. Departamento de Biología, Universidad de Oriente. Santiago de Cuba. ",,422891687
